simulation,strategy,day,goodsMoved,distanceKm,cost
1,FCFS,1,123,1410,2115.00
1,FCFS,2,56,1000,1500.00
1,FCFS,3,114,1300,1950.00
1,FCFS,4,86,2310,3465.00
1,FCFS,5,98,1820,2730.00
1,FCFS,6,89,1350,2025.00
1,FCFS,7,92,1130,1695.00
1,FCFS,8,95,770,1155.00
1,FCFS,9,93,1900,2850.00
1,FCFS,10,92,960,1440.00
1,FCFS,11,114,1500,2250.00
1,FCFS,12,100,1950,2925.00
1,FCFS,13,118,1960,2940.00
1,FCFS,14,56,1680,2520.00
1,FCFS,15,82,2010,3015.00
1,FCFS,16,113,1050,1575.00
1,FCFS,17,75,1720,2580.00
1,FCFS,18,111,1560,2340.00
1,FCFS,19,56,1360,2040.00
1,FCFS,20,64,700,1050.00
1,FCFS,21,92,1900,2850.00
1,FCFS,22,115,1470,2205.00
1,FCFS,23,72,1050,1575.00
1,FCFS,24,99,1150,1725.00
1,FCFS,25,92,760,1140.00
1,FCFS,26,78,800,1200.00
1,FCFS,27,80,1550,2325.00
1,FCFS,28,70,2610,3915.00
1,FCFS,29,98,1110,1665.00
1,FCFS,30,83,1350,2025.00
2,FCFS,1,79,1270,1905.00
2,FCFS,2,102,1600,2400.00
2,FCFS,3,77,1120,1680.00
2,FCFS,4,118,1650,2475.00
2,FCFS,5,101,210,315.00
2,FCFS,6,97,820,1230.00
2,FCFS,7,74,1030,1545.00
2,FCFS,8,73,710,1065.00
2,FCFS,9,92,2260,3390.00
2,FCFS,10,88,1400,2100.00
2,FCFS,11,80,1100,1650.00
2,FCFS,12,68,2110,3165.00
2,FCFS,13,62,1620,2430.00
2,FCFS,14,73,1810,2715.00
2,FCFS,15,79,2500,3750.00
2,FCFS,16,76,1250,1875.00
2,FCFS,17,90,1350,2025.00
2,FCFS,18,99,1750,2625.00
2,FCFS,19,93,1210,1815.00
2,FCFS,20,87,1250,1875.00
2,FCFS,21,104,1250,1875.00
2,FCFS,22,104,1100,1650.00
2,FCFS,23,75,1310,1965.00
2,FCFS,24,80,1700,2550.00
2,FCFS,25,91,1180,1770.00
2,FCFS,26,107,1450,2175.00
2,FCFS,27,80,700,1050.00
2,FCFS,28,82,1900,2850.00
2,FCFS,29,105,1150,1725.00
2,FCFS,30,105,2220,3330.00
3,FCFS,1,104,1030,1545.00
3,FCFS,2,79,1960,2940.00
3,FCFS,3,99,820,1230.00
3,FCFS,4,47,1720,2580.00
3,FCFS,5,92,1410,2115.00
3,FCFS,6,94,2310,3465.00
3,FCFS,7,82,700,1050.00
3,FCFS,8,98,2000,3000.00
3,FCFS,9,90,2110,3165.00
3,FCFS,10,90,1260,1890.00
3,FCFS,11,84,1050,1575.00
3,FCFS,12,78,1950,2925.00
3,FCFS,13,100,1260,1890.00
3,FCFS,14,53,1050,1575.00
3,FCFS,15,100,500,750.00
3,FCFS,16,104,1260,1890.00
3,FCFS,17,64,1010,1515.00
3,FCFS,18,93,1850,2775.00
3,FCFS,19,70,710,1065.00
3,FCFS,20,49,1000,1500.00
3,FCFS,21,99,2400,3600.00
3,FCFS,22,99,510,765.00
3,FCFS,23,74,1400,2100.00
3,FCFS,24,86,2350,3525.00
3,FCFS,25,101,1410,2115.00
3,FCFS,26,71,1670,2505.00
3,FCFS,27,140,1410,2115.00
3,FCFS,28,94,860,1290.00
3,FCFS,29,87,1560,2340.00
3,FCFS,30,100,2100,3150.00
1,NEAREST_NEIGHBOR,1,123,1420,2130.00
1,NEAREST_NEIGHBOR,2,56,1050,1575.00
1,NEAREST_NEIGHBOR,3,114,450,675.00
1,NEAREST_NEIGHBOR,4,86,570,855.00
1,NEAREST_NEIGHBOR,5,98,720,1080.00
1,NEAREST_NEIGHBOR,6,89,360,540.00
1,NEAREST_NEIGHBOR,7,92,0,0.00
1,NEAREST_NEIGHBOR,8,95,150,225.00
1,NEAREST_NEIGHBOR,9,93,300,450.00
1,NEAREST_NEIGHBOR,10,92,0,0.00
1,NEAREST_NEIGHBOR,11,114,450,675.00
1,NEAREST_NEIGHBOR,12,100,450,675.00
1,NEAREST_NEIGHBOR,13,118,150,225.00
1,NEAREST_NEIGHBOR,14,56,150,225.00
1,NEAREST_NEIGHBOR,15,82,150,225.00
1,NEAREST_NEIGHBOR,16,113,150,225.00
1,NEAREST_NEIGHBOR,17,75,150,225.00
1,NEAREST_NEIGHBOR,18,111,150,225.00
1,NEAREST_NEIGHBOR,19,56,0,0.00
1,NEAREST_NEIGHBOR,20,64,150,225.00
1,NEAREST_NEIGHBOR,21,92,0,0.00
1,NEAREST_NEIGHBOR,22,115,150,225.00
1,NEAREST_NEIGHBOR,23,72,600,900.00
1,NEAREST_NEIGHBOR,24,99,600,900.00
1,NEAREST_NEIGHBOR,25,92,300,450.00
1,NEAREST_NEIGHBOR,26,78,0,0.00
1,NEAREST_NEIGHBOR,27,80,450,675.00
1,NEAREST_NEIGHBOR,28,70,0,0.00
1,NEAREST_NEIGHBOR,29,98,150,225.00
1,NEAREST_NEIGHBOR,30,83,300,450.00
2,NEAREST_NEIGHBOR,1,79,1910,2865.00
2,NEAREST_NEIGHBOR,2,102,720,1080.00
2,NEAREST_NEIGHBOR,3,77,360,540.00
2,NEAREST_NEIGHBOR,4,118,300,450.00
2,NEAREST_NEIGHBOR,5,101,0,0.00
2,NEAREST_NEIGHBOR,6,97,0,0.00
2,NEAREST_NEIGHBOR,7,74,0,0.00
2,NEAREST_NEIGHBOR,8,73,300,450.00
2,NEAREST_NEIGHBOR,9,92,150,225.00
2,NEAREST_NEIGHBOR,10,88,450,675.00
2,NEAREST_NEIGHBOR,11,80,150,225.00
2,NEAREST_NEIGHBOR,12,68,150,225.00
2,NEAREST_NEIGHBOR,13,62,150,225.00
2,NEAREST_NEIGHBOR,14,73,600,900.00
2,NEAREST_NEIGHBOR,15,79,0,0.00
2,NEAREST_NEIGHBOR,16,76,300,450.00
2,NEAREST_NEIGHBOR,17,90,300,450.00
2,NEAREST_NEIGHBOR,18,99,300,450.00
2,NEAREST_NEIGHBOR,19,93,300,450.00
2,NEAREST_NEIGHBOR,20,87,300,450.00
